author	year	country	n	n_gender_post_exc_1	n_gender_post_exc_2	age_post_1	age_post_2	blinding	device	instruction	motivation	update_timing	update_timing_1_TEXT	task_demands_type	trial_dur	trial_iti	trial_n	block_ibi	block_n	session_isi	session_n	session_dur	training_dur_days	training_dur_min	bold_mod	eeg_mod	rehearsal	func_loc	PSC	SE_psc	SD_PSC
Emmert_2	2014	Switzerland	14	7	7	27.4	2.6	1	2	2	2	1		9	30	30	4	15	4	0	1	25	1	8	8		2	1	0.365238456	0.106007089	0.396642206
Emmert_1	2014	Switzerland	14	7	7	27.6	2.1	1	2	2	2	1		9	30	30	4	15	4	0	1	25	1	8	8		2	1	0.284745763	0.110599987	0.413827259
Enz_2	2022	Ireland	18	6	12	27.33	12.04	3	3	1	2	1		1	180		4		1		6		6	72		1	2	1	0.151260504	0.489289029	2.075877544
Enz_1	2022	Ireland	26	11	15	25.96	7.37	3	3	1	2	1		1	180		4		1		6		6	72		1	2	1	0.035483871	0.375131207	1.912801347
Eschmann	2022	Germany	48	18	30	22.44		1	3	1	2	1			300		6		1	0	1	35	1	30		1	2	2	0.023923445	0.144337567	1
Fedotchev	2018	Russia	16	9	7	46.66	8.1	1	3	2	2	1			900		1		1		1	17.5	1	15		1	2	1	0.236530172	0.018745706	0.074982824
Goksin	2019	Turkey	11	11	0	29	3.04	1	3	1	2	1			45	10	5		3	44931	5		10	56.25		1	2	2	0.088888889	0.120453688	0.399499687
Gadea	2020	Spain	16	16	0			2	3	2	2	1			1800		1		1		1	40	1	30		1	2	2	0.000997009	0.065964876	0.263859503
Gertz	1983	USA	3					1	3	2	2	1			300	300	45		1		1	450	1	225		5	2	2	0.126436782	4.724450586	8.182988452
Keynan_3	2016	Israel	15					2	3	2	2	1			420		4		1		1	35	1	28		12	2	2	9.5	0.178381613	0.690869018
Kober_1	2020	Austria	10	5	5	24.5	2.22	1	3	1	2	1	1		180		6		1	44929	10	21		180		11	2	2	0.449834983	0.0062	0.019606121
Kober_3	2022	Austria	13	5	8	29.31	5.27	2	3	2	2	1	0.1		180		9		1		1	45	1	27		1	1	2	0.305084746	0.269072481	0.970154627
Kober_4	2013	Austria	10	5	5	46	3.98	1	3	2	2	1			180		6		1		10	21	21	180		1	1	2	8.8	0.314785641	0.995439601
Mehran	2013	Iran	8					3	3	1	2	1	1		600		1		1	2	10		20	100		1	2	2	0.006535948	0.083141446	0.23515952
Nam_1	2020	Republic of Korea	19	3	16	22.11	2.16	1	3	2	2	1			600		4		1		1	60	1	40		1	2	2	0.007537688	0.214684591	0.935788438
Nam_2	2020	Republic of Korea	17	4	13	23.06	2.11	1	3	2	2	1			600		4		1		1	60	1	40		1	2	2	0.019950125	0.176435291	0.727461339
Nam_3	2020	Republic of Korea	20	5	15	22.7	2.83	1	3	2	2	1			600		4		1		1	60	1	40		1	2	2	0.065533981	0.278935476	1.247437373
Perez-Elvira_1	2021	Spain	48	19	29	35.9	12.02	2	3	2	2	1	0.032								1		1			1	2	2	0.057395143	0.205020324	1.420422472
Perez-Elvira_2	2021	Spain	45	21	24	38.42	12.17	2	3	2	2	1	0.032								1		1			1	2	2	0.013215859	0.25471989	1.708712966
Staufenbiel	2014	Netherlands	10	6	4	69.2	1.87	3	3	2	2	1	1	9	1800		1		1	44928	8	30	21	240		1	2	2	0.147448015	0.298060397	0.942549733
Studer_1	2014	Germany	19	10	9	25.08	2.47	1	3	2	2	1		1	6	45085			2	44933	10	50	70			1	2	2	0.803921569	0.523193634	2.28054818
Studer_2	2014	Germany	19	7	12	24.62	2.56	1	3	2	2	1		1			10		2	44933	10	50	70	1000		1	2	2	0.01744186	0.074797974	0.326036808
Wada	2017	Japan	11	7	4	20.4	0.5	1	3	2	2				20	6	5		1	44929	6	2.23	14	10		1	2	2	15.7260274	1.797978663	5.963220606
Witte	2012	Austria	10					3	3	2	2	1			180		6		1		10	21	35	180		1	2	2	0.045685279	0.242486557	0.766809822
Yamashita_1	2017	Japan	18	17	1	22.6	1.8	1	2	1	1	4			22	14	10		6	1	4		4	88	10		2	2	0.491666667	0.009495613	0.040286474
Yamashita_2	2017	Japan	12	9	3	22.8	1.6	1	2	1	1	4			22	14	10		6	1	4		4	88	10		2	2	1	0.011532563	0.039949969
Zhang	2013	China	12	8	8	21	2	1	2	1	2	1	45023		46	46	8		2		1	40.56	1	12.27	8		1	1	0.253333333	0.119863137	0.415218088
Zich	2015	Germany	16	5	11			1	3	1	2	1	0.0625		8		40		2	1	4		4	42.667		12	1	1	0.012048193	5.06476801	20.25907204
